0,10485306.510493422,1702676737.0101657,1702676736.0564501
1,20794857.28989371,1702676757.0312846,1702676756.0695083
2,28990279.675328713,1702676777.1157665,1702676776.080937
3,42588349.31592218,1702676797.0383406,1702676796.0991166
4,52937035.2410909,1702676817.0650756,1702676816.1205573
5,62955843.2942402,1702676837.0905697,1702676836.1375208
6,74161045.46410947,1702676857.094949,1702676856.1510572
7,81395559.03358027,1702676877.1462824,1702676876.1634278
8,55729511.927474506,1702676897.7913482,1702676896.176405
9,103883638.94308907,1702676917.153761,1702676916.1911454
10,116444341.24648552,1702676937.1452267,1702676936.2005694
11,127750033.37687133,1702676957.1610487,1702676956.2217143
12,132385126.79979324,1702676977.224771,1702676976.2427876
13,143854076.94199708,1702676997.2332172,1702676996.2600088
14,144182450.11272964,1702677017.307961,1702677016.2676125
15,160017740.30905813,1702677037.287866,1702677036.287977
16,173111362.4715611,1702677057.2781942,1702677056.2961674
17,184820495.3453052,1702677077.2834954,1702677076.3095775
18,186703414.56511888,1702677097.3361208,1702677096.318464
19,205116989.87937903,1702677117.3161225,1702677116.3410692
20,159150852.23392037,1702677137.669677,1702677136.3501742
21,198139103.03182304,1702677157.4698968,1702677156.3595657
22,242315603.8612153,1702677177.3273628,1702677176.3781874
23,250359562.36014733,1702677197.3474953,1702677196.388874
24,261941322.90140504,1702677217.3640208,1702677216.4096086
25,271947579.4968322,1702677237.3771641,1702677236.4210975
26,236096933.70176113,1702677257.5718253,1702677256.4282272
27,288524971.6488108,1702677277.4159737,1702677276.4455204
28,301945416.6460835,1702677297.4130378,1702677296.4525993
29,311542966.7624931,1702677317.428631,1702677316.465682
